"qmd","chamada","existe","caminho_testado_1","caminho_testado_2","caminho_testado_3"
"acesso\index.qmd","../figures/tsiino_bg.png","True","C:\repos\cabeca_cachorro\..\figures\tsiino_bg.png","C:\repos\cabeca_cachorro\acesso\..\figures\tsiino_bg.png",""
"en\index.qmd","figures/tsiino_bg.png","True","C:\repos\cabeca_cachorro\en\figures\tsiino_bg.png","C:\repos\cabeca_cachorro\figures\tsiino_bg.png",""
"en\data-access\index.qmd","../figures/conservacao/conservacaotitlebg.png","False","C:\repos\cabeca_cachorro\..\figures\conservacao\conservacaotitlebg.png","C:\repos\cabeca_cachorro\en\data-access\..\figures\conservacao\conservacaotitlebg.png",""
"en\data-access\index.qmd","../figures/conservacao/criptogama_campo.jpeg","False","C:\repos\cabeca_cachorro\..\figures\conservacao\criptogama_campo.jpeg","C:\repos\cabeca_cachorro\en\data-access\..\figures\conservacao\criptogama_campo.jpeg",""
"en\data-access\index.qmd","../figures/conservacao/ducke.jpg","False","C:\repos\cabeca_cachorro\..\figures\conservacao\ducke.jpg","C:\repos\cabeca_cachorro\en\data-access\..\figures\conservacao\ducke.jpg",""
"en\data-access\index.qmd","../figures/conservacao/expedicao_recente.jpg","False","C:\repos\cabeca_cachorro\..\figures\conservacao\expedicao_recente.jpg","C:\repos\cabeca_cachorro\en\data-access\..\figures\conservacao\expedicao_recente.jpg",""
"en\data-access\index.qmd","../figures/conservacao/fanerogama_campo.jpg","False","C:\repos\cabeca_cachorro\..\figures\conservacao\fanerogama_campo.jpg","C:\repos\cabeca_cachorro\en\data-access\..\figures\conservacao\fanerogama_campo.jpg",""
"en\data-access\index.qmd","../figures/conservacao/fungo_campo.jpg","False","C:\repos\cabeca_cachorro\..\figures\conservacao\fungo_campo.jpg","C:\repos\cabeca_cachorro\en\data-access\..\figures\conservacao\fungo_campo.jpg",""
"en\data-access\index.qmd","../figures/conservacao/herbario.png","False","C:\repos\cabeca_cachorro\..\figures\conservacao\herbario.png","C:\repos\cabeca_cachorro\en\data-access\..\figures\conservacao\herbario.png",""
"en\data-access\index.qmd","../figures/conservacao/herbarium_blitz.jpg","False","C:\repos\cabeca_cachorro\..\figures\conservacao\herbarium_blitz.jpg","C:\repos\cabeca_cachorro\en\data-access\..\figures\conservacao\herbarium_blitz.jpg",""
"en\data-access\index.qmd","../figures/conservacao/spruce.jpg","False","C:\repos\cabeca_cachorro\..\figures\conservacao\spruce.jpg","C:\repos\cabeca_cachorro\en\data-access\..\figures\conservacao\spruce.jpg",""
"en\data-access\index.qmd","../figures/conservacao/wallace.jpg","False","C:\repos\cabeca_cachorro\..\figures\conservacao\wallace.jpg","C:\repos\cabeca_cachorro\en\data-access\..\figures\conservacao\wallace.jpg",""
"en\data-access\index.qmd","../figures/conservacaotitlebg.png","False","C:\repos\cabeca_cachorro\..\figures\conservacaotitlebg.png","C:\repos\cabeca_cachorro\en\data-access\..\figures\conservacaotitlebg.png",""
"en\data-access\index.qmd","../figures/tsiino_bg.png","False","C:\repos\cabeca_cachorro\..\figures\tsiino_bg.png","C:\repos\cabeca_cachorro\en\data-access\..\figures\tsiino_bg.png",""
"en\expeditions\index.qmd","../figures/tsiino_bg.png","False","C:\repos\cabeca_cachorro\..\figures\tsiino_bg.png","C:\repos\cabeca_cachorro\en\expeditions\..\figures\tsiino_bg.png",""
"en\team\index.qmd","../figures/equipe.jpg","False","C:\repos\cabeca_cachorro\..\figures\equipe.jpg","C:\repos\cabeca_cachorro\en\team\..\figures\equipe.jpg",""
"en\team\index.qmd","../figures/tsiino_bg.png","False","C:\repos\cabeca_cachorro\..\figures\tsiino_bg.png","C:\repos\cabeca_cachorro\en\team\..\figures\tsiino_bg.png",""
"expedicoes\index.qmd","../figures/tsiino_bg.png","True","C:\repos\cabeca_cachorro\..\figures\tsiino_bg.png","C:\repos\cabeca_cachorro\expedicoes\..\figures\tsiino_bg.png",""
"team\index.qmd","../figures/equipe.jpg","False","C:\repos\cabeca_cachorro\..\figures\equipe.jpg","C:\repos\cabeca_cachorro\team\..\figures\equipe.jpg",""
"team\index.qmd","../figures/tsiino_bg.png","True","C:\repos\cabeca_cachorro\..\figures\tsiino_bg.png","C:\repos\cabeca_cachorro\team\..\figures\tsiino_bg.png",""
